"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2022","117.60","129.84","130.48","117.25","12.39M","-8.70%"
"01-03-2022","128.80","122.14","133.11","119.48","16.32M","5.31%"
"01-02-2022","122.31","111.60","123.67","111.22","20.15M","9.13%"
"01-01-2022","112.08","116.60","128.00","107.69","21.42M","-2.69%"
"01-12-2021","115.18","110.28","118.35","105.18","17.62M","6.81%"
"01-11-2021","107.84","114.23","120.70","106.45","13.53M","-5.10%"
"01-10-2021","113.64","109.02","120.11","108.72","14.52M","4.88%"
"01-09-2021","108.35","113.90","116.38","107.68","13.83M","-4.11%"
"01-08-2021","112.99","118.29","120.23","110.65","13.91M","-3.74%"
"01-07-2021","117.38","114.60","120.25","109.50","18.64M","2.43%"
"01-06-2021","114.59","118.00","124.24","113.56","24.70M","-2.53%"
"01-05-2021","117.56","109.63","117.96","103.20","23.51M","7.51%"
"01-04-2021","109.35","101.59","110.22","101.59","22.63M","7.99%"
"01-03-2021","101.26","100.79","110.36","99.29","25.91M","2.15%"
"01-02-2021","99.13","91.60","106.94","88.88","22.01M","8.61%"
"01-01-2021","91.27","95.30","95.96","88.45","24.06M","-3.45%"
"01-12-2020","94.53","99.98","105.98","91.47","25.23M","-3.70%"
"01-11-2020","98.16","73.26","105.93","72.32","35.76M","35.56%"
"01-10-2020","72.41","80.60","86.34","69.69","23.89M","-9.83%"
"01-09-2020","80.30","85.95","90.68","78.41","29.25M","-7.56%"
"01-08-2020","86.87","88.01","93.12","83.16","25.37M","-2.49%"
"01-07-2020","89.09","90.63","94.63","83.39","30.03M","-1.43%"
"01-06-2020","90.38","85.81","107.90","85.61","40.55M","5.12%"
"01-05-2020","85.98","94.58","94.88","71.57","42.52M","-11.53%"
"01-04-2020","97.18","87.54","107.15","79.91","30.39M","5.37%"
"01-03-2020","92.23","129.63","138.38","77.21","35.17M","-28.47%"
"01-02-2020","128.94","144.00","147.83","123.10","15.86M","-10.05%"
"01-01-2020","143.35","138.30","144.34","133.71","12.87M","3.98%"
"01-12-2019","137.86","138.44","140.30","133.60","11.89M","-0.49%"
"01-11-2019","138.54","137.76","139.63","135.24","9.93M","0.98%"
"01-10-2019","137.20","129.88","140.06","124.58","16.47M","5.82%"
"01-09-2019","129.66","127.77","134.09","126.18","19.54M","0.97%"
"01-08-2019","128.42","132.38","132.97","125.24","13.37M","-3.41%"
"01-07-2019","132.95","129.76","136.63","127.10","12.20M","3.06%"
"01-06-2019","129.00","131.25","139.25","126.89","14.76M","-1.40%"
"01-05-2019","130.83","137.73","140.35","128.97","14.84M","-4.93%"
"01-04-2019","137.62","134.12","139.41","130.11","14.21M","2.79%"
"01-03-2019","133.88","132.89","135.49","130.55","17.25M","0.90%"
"01-02-2019","132.69","132.08","136.22","129.35","12.34M","0.62%"
"01-01-2019","131.87","111.70","132.07","107.94","14.88M","17.17%"
"01-12-2018","112.55","131.53","132.73","107.84","16.06M","-14.21%"
"01-11-2018","131.20","120.70","131.27","117.74","15.94M","8.65%"
"01-10-2018","120.76","122.97","123.67","113.95","18.86M","-1.89%"
"01-09-2018","123.09","130.09","131.40","120.62","13.88M","-5.64%"
"01-08-2018","130.45","122.35","132.82","122.35","16.60M","3.92%"
"01-07-2018","125.53","125.26","128.13","121.76","11.69M","0.09%"
"01-06-2018","125.42","122.12","126.19","117.98","15.41M","3.00%"
"01-05-2018","121.77","121.70","125.30","116.00","17.03M","0.30%"
"01-04-2018","121.41","123.44","123.72","116.43","15.09M","-1.47%"
"01-03-2018","123.22","117.87","127.54","117.08","14.83M","3.66%"
"01-02-2018","118.87","123.59","123.88","111.57","18.59M","-3.91%"
"01-01-2018","123.71","130.39","130.39","119.36","18.88M","-4.86%"
"01-12-2017","130.03","125.93","132.00","123.29","18.22M","3.71%"
"01-11-2017","125.38","121.24","126.65","119.74","11.54M","3.47%"
"01-10-2017","121.18","122.93","128.99","119.92","13.44M","-1.38%"
"01-09-2017","122.88","120.93","124.12","119.34","11.73M","1.89%"
"01-08-2017","120.60","121.22","125.00","118.22","14.79M","-0.26%"
"01-07-2017","120.91","123.60","125.09","116.77","12.09M","-1.72%"
"01-06-2017","123.02","120.92","128.04","120.22","13.75M","1.40%"
"01-05-2017","121.32","126.85","127.35","119.54","15.48M","-4.17%"
"01-04-2017","126.60","132.50","137.35","125.56","13.53M","-4.39%"
"01-03-2017","132.41","138.95","139.35","129.33","18.21M","-4.76%"
"01-02-2017","139.03","131.25","140.13","129.09","15.12M","6.21%"
"01-01-2017","130.90","127.70","132.61","125.99","15.62M","4.07%"
"01-12-2016","125.78","123.17","130.66","121.18","16.59M","1.53%"
"01-11-2016","123.88","120.28","127.44","113.69","24.02M","2.82%"
"01-10-2016","120.48","135.42","135.47","118.41","17.31M","-11.60%"
"01-09-2016","136.29","140.28","143.65","132.83","15.21M","-2.74%"
"01-08-2016","140.13","142.13","144.02","138.07","13.69M","-1.41%"
"01-07-2016","142.13","132.09","142.63","129.49","12.34M","7.76%"
"01-06-2016","131.90","125.20","131.99","124.90","18.38M","4.99%"
"01-05-2016","125.63","129.56","133.59","123.45","16.82M","-2.51%"
"01-04-2016","128.86","126.72","131.58","125.51","12.07M","1.40%"
"01-03-2016","127.08","115.00","127.77","114.29","16.82M","11.34%"
"01-02-2016","114.14","115.42","118.64","107.28","19.39M","-1.78%"
"01-01-2016","116.21","125.28","127.71","113.84","16.93M","-8.88%"
"01-12-2015","127.54","124.66","130.04","119.95","16.57M","3.03%"
"01-11-2015","123.78","124.58","128.65","120.26","13.32M","-0.68%"
"01-10-2015","124.64","117.82","125.65","115.52","19.61M","6.29%"
"01-09-2015","117.26","110.92","120.58","108.08","18.17M","4.43%"
"01-08-2015","112.29","122.13","123.65","93.99","20.39M","-8.03%"
"01-07-2015","122.09","116.98","125.92","116.76","16.80M","1.85%"
"01-06-2015","119.87","128.83","130.59","119.28","18.63M","-6.91%"
"01-05-2015","128.78","131.62","134.18","127.14","14.74M","-1.72%"
"01-04-2015","131.03","139.13","141.71","130.20","13.23M","-5.82%"
"01-03-2015","139.13","136.41","144.49","132.35","18.07M","2.23%"
"01-02-2015","136.08","138.11","142.54","134.26","16.14M","-1.00%"
"01-01-2015","137.46","128.09","144.66","128.04","16.78M","7.86%"
"01-12-2014","127.45","123.97","131.31","122.88","18.91M","2.68%"
